team,lat,lon,logo,url
Titans,36.166461,-86.771289,"/images/titans.png","/titans.html"
Giants,40.812194,-74.076983,"/images/giants.png","/giants.html"
Steelers,40.446786,-80.015761,"/images/steelers.png","/steelers.html"	 	
Panthers,35.225808,-80.852861,"/images/panthers.png","/panthers.html"	 	
Ravens,39.277969,-76.622767,"/images/ravens.png","/ravens.html"	 	
Buccaneers,27.975967,-82.50335,"/images/bucs.png","/bucs.html"	 	
Colts,39.760056,-86.163806,"/images/colts.png","/colts.html"	 	
Vikings,44.973881,-93.258094,"/images/vikings.png","/vikings.html"	 	
Cardinals,33.5277,-112.262608,"/images/cardinals.png","/cardinals.html"	 	
Cowboys,32.747778,-97.092778,"/images/cowboys.png","/cowboys.html"	 	
Falcons,33.757614,-84.400972,"/images/falcons.png","/falcons.html"	 	
Jets,40.812194,-74.076983,"/images/jets.png","/jets.html"
Broncos,39.743936,-105.020097,"/images/broncos.png","/broncos.html"	 	
Dolphins,25.957919,-80.238842,"/images/dolphins.png","/dolphins.html"	 	
Eagles,39.900775,-75.167453,"/images/eagles.png","/eagles.html"	 	
Bears,41.862306,-87.616672,"/images/bears.png","/bears.html"	 	
Patriots,42.090925,-71.26435,"/images/patriots.png","/patriots.html"	 	
Redskins,38.907697,-76.864517,"/images/redskins.png","/redskins.html"
Packers,44.501306,-88.062167,"/images/packers.png","/packers.html"	 	
Chargers,32.783117,-117.119525,"/images/chargers.png","/chargers.html"	 	
Saints,29.950931,-90.081364,"/images/saints.png","/saints.html"	 	
Texans,29.684781,-95.410956,"/images/texans.png","/texans.html"	 	
Bills,42.773739,-78.786978,"/images/bills.png","/bills.html"	 	
Forty-Niners,37.713486,-122.386256,"/images/49ers.png","/49ers.html"	 	
Jaguars,30.323925,-81.637356,"/images/jags.png","/jaguars.html"	 	
Browns,41.506022,-81.699564,"/images/browns.png","/browns.html"	 	
Raiders,37.751411,-122.200889,"/images/raiders.png","/raiders.html"	 	
Chiefs,39.048914,-94.484039,"/images/chiefs.png","/chiefs.html"	 	
Rams,38.632975,-90.188547,"/images/rams.png","/rams.html"	 	
Seahawks,47.595153,-122.331625,"/images/hawks.png","/seahawks.html" 	
Bengals,39.095442,-84.516039,"/images/bengals.png","/bengals.html"	 	
Lions,42.340156,-83.045808,"/images/lions.png","/lions.html" 	
